Study PHS,Study ID,Study URL
phs001746,43,https://duos.org/studies/43
phs001272,46,https://duos.org/studies/46
phs002042,48,https://duos.org/studies/48
phs002043,49,https://duos.org/studies/49
phs002043,49,https://duos.org/studies/49
phs001740,50,https://duos.org/studies/50
phs001741,51,https://duos.org/studies/51
phs002004,52,https://duos.org/studies/52
phs001766,53,https://duos.org/studies/53
phs002044,54,https://duos.org/studies/54
phs002378,55,https://duos.org/studies/55
phs002111,56,https://duos.org/studies/56
phs002324,57,https://duos.org/studies/57
phs002337,58,https://duos.org/studies/58
phs002337,58,https://duos.org/studies/58
phs002110,59,https://duos.org/studies/59
phs002307,60,https://duos.org/studies/60
phs002018,61,https://duos.org/studies/61
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs002205,66,https://duos.org/studies/66
phs002502,67,https://duos.org/studies/67
phs002502,67,https://duos.org/studies/67
phs002502,67,https://duos.org/studies/67
phs002502,67,https://duos.org/studies/67
phs002502,67,https://duos.org/studies/67
phs002502,67,https://duos.org/studies/67
phs001963,69,https://duos.org/studies/69
phs002032,70,https://duos.org/studies/70
phs002032,70,https://duos.org/studies/70
phs000424,71,https://duos.org/studies/71
phs000424,71,https://duos.org/studies/71
phs001585,72,https://duos.org/studies/72
phs003181,73,https://duos.org/studies/73
phs003224,75,https://duos.org/studies/75
phs002041,80,https://duos.org/studies/80
phs001227,81,https://duos.org/studies/81
phs000744,82,https://duos.org/studies/82
phs000744,82,https://duos.org/studies/82
1000Genomes,90,https://duos.org/studies/90
phs001798,91,https://duos.org/studies/91
AnVIL_1000G_PRIMED-data-model,92,https://duos.org/studies/92
AnVIL_GTEx_public_data,93,https://duos.org/studies/93
AnVIL_HPRC,94,https://duos.org/studies/94
AnVIL_T2T,95,https://duos.org/studies/95
phs002502,67,https://duos.org/studies/67
phs002502,67,https://duos.org/studies/67
phs002502,67,https://duos.org/studies/67
phs002502,67,https://duos.org/studies/67
phs002502,67,https://duos.org/studies/67
phs002502,67,https://duos.org/studies/67
phs002502,67,https://duos.org/studies/67
phs002502,67,https://duos.org/studies/67
phs002502,67,https://duos.org/studies/67
phs002502,67,https://duos.org/studies/67
phs002502,67,https://duos.org/studies/67
phs002502,67,https://duos.org/studies/67
phs002502,67,https://duos.org/studies/67
phs002502,67,https://duos.org/studies/67
phs002502,67,https://duos.org/studies/67
phs002502,67,https://duos.org/studies/67
phs002502,67,https://duos.org/studies/67
phs002502,67,https://duos.org/studies/67
phs002502,67,https://duos.org/studies/67
phs002502,67,https://duos.org/studies/67
phs002502,67,https://duos.org/studies/67
phs002502,67,https://duos.org/studies/67
phs002502,67,https://duos.org/studies/67
phs002502,67,https://duos.org/studies/67
phs002502,67,https://duos.org/studies/67
phs002502,67,https://duos.org/studies/67
phs000711,96,https://duos.org/studies/96
phs000711,96,https://duos.org/studies/96
phs001272,46,https://duos.org/studies/46
phs001913,97,https://duos.org/studies/97
phs001222,98,https://duos.org/studies/98
phs001259,99,https://duos.org/studies/99
phs002042,48,https://duos.org/studies/48
phs001676,100,https://duos.org/studies/100
phs001894,101,https://duos.org/studies/101
phs001487,102,https://duos.org/studies/102
phs002018,61,https://duos.org/studies/61
phs001880,103,https://duos.org/studies/103
phs001871,104,https://duos.org/studies/104
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs001642,62,https://duos.org/studies/62
phs002205,66,https://duos.org/studies/66
phs001901,105,https://duos.org/studies/105
phs002206,106,https://duos.org/studies/106
phs002206,106,https://duos.org/studies/106
phs002206,106,https://duos.org/studies/106
phs002206,106,https://duos.org/studies/106
phs002206,106,https://duos.org/studies/106
phs002206,106,https://duos.org/studies/106
phs002206,106,https://duos.org/studies/106
phs002206,106,https://duos.org/studies/106
phs002206,106,https://duos.org/studies/106
phs002206,106,https://duos.org/studies/106
phs002206,106,https://duos.org/studies/106
phs002206,106,https://duos.org/studies/106
phs000424,71,https://duos.org/studies/71
phs003047,107,https://duos.org/studies/107
phs003047,107,https://duos.org/studies/107
phs001211,108,https://duos.org/studies/108
,109,https://duos.org/studies/109
phs000971,110,https://duos.org/studies/110
phs002041,80,https://duos.org/studies/80
phs002041,80,https://duos.org/studies/80
phs002041,80,https://duos.org/studies/80
phs002041,80,https://duos.org/studies/80
phs001227,81,https://duos.org/studies/81
phs000744,82,https://duos.org/studies/82
phs000744,82,https://duos.org/studies/82
phs000744,82,https://duos.org/studies/82
phs000744,82,https://duos.org/studies/82
phs000744,82,https://duos.org/studies/82
phs000744,82,https://duos.org/studies/82
phs000744,82,https://duos.org/studies/82
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs001489,111,https://duos.org/studies/111
phs002032,70,https://duos.org/studies/70
phs002032,70,https://duos.org/studies/70
phs002032,70,https://duos.org/studies/70
phs003444,112,https://duos.org/studies/112
phs003537,115,https://duos.org/studies/115
phs001395,116,https://duos.org/studies/116
phs003184,117,https://duos.org/studies/117
phs003184,117,https://duos.org/studies/117
phs003200,118,https://duos.org/studies/118
phs000424,71,https://duos.org/studies/71
phs003047,107,https://duos.org/studies/107
phs003047,107,https://duos.org/studies/107
phs003018,119,https://duos.org/studies/119